type,etablissement,norme,operationnel,detenus,date,densite,dir_interregionale
CD,Saint-Mihiel,400,400,345,2019-03-01,86.25,Strasbourg
CD,Toul,427,427,405,2019-03-01,94.84777517564403,Strasbourg
CD,Villenauxe-la-Grande,606,406,338,2019-03-01,83.2512315270936,Strasbourg
qCD,Nancy Maxéville,240,240,217,2019-03-01,90.41666666666667,Strasbourg
MC,Clairvaux,91,80,70,2019-03-01,87.5,Strasbourg
MC,Ensisheim,215,200,179,2019-03-01,89.5,Strasbourg
qCPA,Metz-Queuleu,77,77,40,2019-03-01,51.94805194805194,Strasbourg
CSL,Briey,25,25,22,2019-03-01,88,Strasbourg
CSL,Maxéville,52,52,37,2019-03-01,71.15384615384616,Strasbourg
CSL,Souffelweyersheim,53,53,35,2019-03-01,66.0377358490566,Strasbourg
MA,Albi,105,105,175,2019-03-01,166.66666666666669,Toulouse
MA,Carcassonne,64,64,129,2019-03-01,201.5625,Toulouse
MA,Foix,67,65,115,2019-03-01,176.9230769230769,Toulouse
MA,Mende,49,49,61,2019-03-01,124.48979591836735,Toulouse
MA,Montauban,144,144,220,2019-03-01,152.77777777777777,Toulouse
MA,Nîmes,200,200,433,2019-03-01,216.5,Toulouse
MA,Rodez,99,99,142,2019-03-01,143.43434343434342,Toulouse
MA,Tarbes,72,72,117,2019-03-01,162.5,Toulouse
qMA,Béziers,389,389,629,2019-03-01,161.6966580976864,Toulouse
qMA,Perpignan,196,196,381,2019-03-01,194.3877551020408,Toulouse
qMA,Toulouse-Seysses,655,655,1212,2019-03-01,185.0381679389313,Toulouse
qMA,Villeneuve-lès-Maguelone,607,607,835,2019-03-01,137.56177924217462,Toulouse
CD,Muret,660,623,576,2019-03-01,92.45585874799357,Toulouse
CD,Saint-Sulpice-la-Pointe,102,102,93,2019-03-01,91.17647058823529,Toulouse
qCD,Béziers,420,420,404,2019-03-01,96.19047619047619,Toulouse
qCD,Lannemezan,20,10,5,2019-03-01,50,Toulouse
qCD,Perpignan,333,333,322,2019-03-01,96.69669669669669,Toulouse
qMC,Lannemezan,212,162,119,2019-03-01,73.4567901234568,Toulouse
qCSL,Toulouse-Seysses,101,52,35,2019-03-01,67.3076923076923,Toulouse
qCSL,Villeneuve-lès-Maguelone,24,24,23,2019-03-01,95.83333333333334,Toulouse
EPM,Lavaur,59,59,46,2019-03-01,77.96610169491525,Toulouse
MA,Basse-Terre,129,129,215,2019-03-01,166.66666666666669,Outre-Mer
qMA,Baie-Mahault,265,265,514,2019-03-01,193.96226415094338,Outre-Mer
qMA,Ducos,371,371,510,2019-03-01,137.46630727762803,Outre-Mer
qMA,Guyane (Remiré Montjoly),293,293,490,2019-03-01,167.23549488054607,Outre-Mer
MA,Saint-Pierre,115,115,129,2019-03-01,112.17391304347825,Outre-Mer
qMA,Saint-Denis,558,558,505,2019-03-01,90.50179211469535,Outre-Mer
qMA,Saint-Pierre-et-Miquelon,7,7,2,2019-03-01,28.57142857142857,Outre-Mer
qMA,Majicavo,164,164,198,2019-03-01,120.73170731707317,Outre-Mer
MA,Mata Utu,3,3,0,2019-03-01,0,Outre-Mer
qMA,Faa'a Nuutania,157,157,250,2019-03-01,159.23566878980893,Outre-Mer
qMA,Nouméa,196,196,260,2019-03-01,132.6530612244898,Outre-Mer
qCD,Baie-Mahault,238,238,231,2019-03-01,97.05882352941177,Outre-Mer
qCD,Ducos,367,367,322,2019-03-01,87.73841961852861,Outre-Mer
qCD,Guyane (Remiré Montjoly),320,320,321,2019-03-01,100.3125,Outre-Mer
CD,Le Port (Plaine les Galets),507,507,420,2019-03-01,82.84023668639054,Outre-Mer
qCD,Saint-Denis,17,17,16,2019-03-01,94.11764705882352,Outre-Mer
qCD,Saint-Pierre-et-Miquelon,4,4,1,2019-03-01,25,Outre-Mer
qCD,Majicavo,114,114,117,2019-03-01,102.63157894736842,Outre-Mer
CD,Tatutu de Papeari,410,410,326,2019-03-01,79.51219512195122,Outre-Mer
qCD,Faa'a Nuutania,7,7,11,2019-03-01,157.14285714285714,Outre-Mer
qCD,Taiohae,5,5,1,2019-03-01,20,Outre-Mer
qCD,Uturoa-Raiatea,20,20,9,2019-03-01,45,Outre-Mer
qCD,Nouméa,218,218,319,2019-03-01,146.3302752293578,Outre-Mer
MA,Agen,146,145,170,2019-02-01,117.24137931034481,Bordeaux
MA,Angoulême,236,236,200,2019-02-01,84.7457627118644,Bordeaux
MA,Bayonne,75,75,107,2019-02-01,142.66666666666669,Bordeaux
MA,Guéret,32,32,33,2019-02-01,103.125,Bordeaux
